id,name,status,temperature,stockThreshold,openTime,closeTime,installedDate,lastCheckupDate,nextCheckupDate,lowStockItems,outStockItems,position,city,country
80,Machine 80,inactive,5,100,05:00,19:59,2024-01-21T10:45:02.828Z,2024-01-25T13:16:06.379Z,2024-02-13T05:38:46.756Z,7,1,"7.042645489897509,92.33709198068846",Bangkok,Thailand
81,Machine 81,active,5,100,03:00,22:59,2023-11-10T11:38:51.066Z,2024-01-16T07:53:15.583Z,2024-03-02T06:32:33.091Z,11,4,"8.992202220524035,106.57117555982256",Bangkok,Thailand
82,Machine 82,inactive,5,100,06:00,19:59,2023-07-27T18:06:49.178Z,2023-09-26T16:13:54.847Z,2024-02-27T16:09:06.698Z,5,3,"17.09017709370061,90.58064798585428",Bangkok,Thailand
83,Machine 83,active,5,100,00:00,21:59,2023-11-19T02:55:04.091Z,2023-11-29T21:50:52.127Z,2024-02-14T10:54:23.852Z,13,0,"8.902737513523189,102.36065053318487",Bangkok,Thailand
84,Machine 84,active,5,100,05:00,21:59,2023-08-07T15:16:52.523Z,2023-10-09T16:10:27.839Z,2024-02-23T17:30:44.654Z,11,0,"11.518665052827176,96.85853714103223",Bangkok,Thailand
85,Machine 85,inactive,5,100,01:00,21:59,2023-10-07T07:52:34.389Z,2023-12-17T07:26:47.596Z,2024-02-24T16:31:08.361Z,3,2,"8.800407380976763,103.98673956059554",Bangkok,Thailand
86,Machine 86,inactive,5,100,03:00,20:59,2023-10-06T17:50:37.553Z,2023-11-17T19:23:07.819Z,2024-03-01T18:07:42.268Z,2,3,"12.780115229975648,96.88410788360295",Bangkok,Thailand
87,Machine 87,active,5,100,02:00,21:59,2023-07-18T03:43:16.876Z,2023-09-07T04:41:49.903Z,2024-02-20T00:39:14.845Z,16,1,"12.459354167301727,112.59417493076728",Bangkok,Thailand
88,Machine 88,inactive,5,100,04:00,18:59,2023-07-09T07:35:56.932Z,2023-12-09T05:09:49.835Z,2024-02-14T19:57:04.090Z,0,1,"7.18916001637524,99.61861419912134",Bangkok,Thailand
89,Machine 89,active,5,100,01:00,23:59,2023-12-14T23:32:17.429Z,2024-01-03T02:13:34.221Z,2024-02-23T15:30:02.921Z,6,4,"13.330721713847778,100.4562662883202",Bangkok,Thailand
90,Machine 90,active,5,100,02:00,23:59,2023-11-28T14:05:58.223Z,2024-01-22T17:46:08.674Z,2024-02-22T19:18:36.319Z,20,2,"19.99418415306601,98.0942496724092",Bangkok,Thailand
91,Machine 91,inactive,5,100,04:00,21:59,2023-06-12T09:38:36.698Z,2023-12-09T10:54:47.867Z,2024-02-17T16:11:07.359Z,10,4,"3.5004928013268586,97.4906925601731",Bangkok,Thailand
92,Machine 92,inactive,5,100,03:00,19:59,2023-11-08T20:52:14.338Z,2023-12-19T08:23:21.327Z,2024-02-21T04:32:58.059Z,10,5,"17.920728440623375,109.68667558298398",Bangkok,Thailand
93,Machine 93,active,5,100,00:00,19:59,2024-01-01T00:59:46.302Z,2024-01-13T17:02:04.608Z,2024-02-23T20:50:41.897Z,1,5,"18.829043856129182,104.5872821174595",Bangkok,Thailand
94,Machine 94,inactive,5,100,01:00,18:59,2023-08-20T23:48:17.206Z,2023-10-20T11:52:16.465Z,2024-02-15T17:40:30.185Z,3,4,"9.862233501198437,100.2102362162409",Bangkok,Thailand
95,Machine 95,active,5,100,00:00,19:59,2023-10-21T15:28:12.432Z,2023-12-31T03:23:27.388Z,2024-03-02T10:40:35.021Z,7,0,"21.5720562864826,91.1390521260688",Bangkok,Thailand
96,Machine 96,active,5,100,00:00,21:59,2023-12-02T18:00:19.027Z,2023-12-27T01:35:54.449Z,2024-02-21T17:05:30.190Z,15,3,"13.26215348056412,102.055974152452",Bangkok,Thailand
97,Machine 97,inactive,5,100,00:00,23:59,2023-10-02T12:52:07.957Z,2023-11-09T21:46:14.771Z,2024-03-02T21:43:18.449Z,5,1,"20.91739109712638,95.51208002082797",Bangkok,Thailand
98,Machine 98,inactive,5,100,04:00,18:59,2023-12-29T21:12:41.983Z,2024-01-29T18:34:56.560Z,2024-02-28T23:10:38.451Z,2,2,"16.12174373760885,103.29229156204929",Bangkok,Thailand
99,Machine 99,inactive,5,100,06:00,21:59,2023-11-29T04:17:15.029Z,2024-01-18T22:16:25.035Z,2024-03-02T16:06:32.839Z,18,4,"21.781699388707075,93.59865555842453",Bangkok,Thailand
100,Machine 100,inactive,5,100,03:00,22:59,2024-01-06T09:07:52.726Z,2024-01-11T20:40:33.837Z,2024-02-14T07:14:42.999Z,7,0,"16.26252096499679,98.33375810841778",Bangkok,Thailand
101,Machine 101,inactive,5,100,01:00,22:59,2023-11-01T09:05:17.108Z,2023-12-31T19:06:25.303Z,2024-02-24T00:16:53.680Z,6,3,"7.850743619750076,89.4721812627505",Bangkok,Thailand
102,Machine 102,active,5,100,01:00,21:59,2023-07-27T17:05:09.685Z,2023-10-30T03:48:36.436Z,2024-03-04T21:35:00.470Z,9,0,"13.524017852540384,100.85237719722807",Bangkok,Thailand
103,Machine 103,active,5,100,04:00,18:59,2024-01-05T18:44:57.817Z,2024-01-23T02:25:14.003Z,2024-02-18T14:24:55.933Z,6,3,"4.722122290918215,103.39566067931196",Bangkok,Thailand
104,Machine 104,active,5,100,06:00,22:59,2023-08-15T20:42:01.315Z,2023-10-04T12:03:14.053Z,2024-02-17T10:55:32.061Z,18,1,"8.195630078587062,108.83541475250877",Bangkok,Thailand
105,Machine 105,active,5,100,05:00,21:59,2023-10-24T03:04:34.597Z,2024-01-11T04:00:41.985Z,2024-03-03T00:17:02.718Z,12,5,"13.0037105491055,93.91464575707721",Bangkok,Thailand
106,Machine 106,active,5,100,05:00,22:59,2023-09-19T02:02:20.491Z,2023-12-10T14:55:34.697Z,2024-03-01T02:50:08.376Z,18,1,"18.13154554523217,100.32632858487784",Bangkok,Thailand
107,Machine 107,inactive,5,100,01:00,21:59,2023-11-22T14:23:03.302Z,2024-01-30T14:22:08.114Z,2024-02-14T08:55:08.917Z,20,0,"23.675993331222806,105.08500313789807",Bangkok,Thailand
108,Machine 108,inactive,5,100,02:00,18:59,2023-09-22T21:39:48.362Z,2023-12-09T16:14:28.463Z,2024-02-21T08:01:06.574Z,4,0,"10.872786090615627,102.43815098886034",Bangkok,Thailand
109,Machine 109,active,5,100,04:00,23:59,2023-07-10T11:02:42.260Z,2023-08-26T03:27:12.850Z,2024-02-25T12:16:55.622Z,10,4,"11.114866333245736,101.24693647088338",Bangkok,Thailand
110,Machine 110,active,5,100,00:00,22:59,2023-10-10T11:48:13.315Z,2023-12-23T02:15:02.064Z,2024-02-28T01:51:58.974Z,3,1,"5.9551610133263,103.24164384130495",Bangkok,Thailand
111,Machine 111,active,5,100,06:00,19:59,2023-10-02T21:42:41.935Z,2024-01-30T10:30:05.917Z,2024-02-15T20:23:27.686Z,5,0,"23.80999229473686,107.29392441557968",Bangkok,Thailand
112,Machine 112,inactive,5,100,06:00,21:59,2023-11-08T06:40:41.540Z,2024-01-13T13:05:39.722Z,2024-02-19T22:49:41.162Z,19,3,"12.248156554783698,99.8193557317793",Bangkok,Thailand
113,Machine 113,active,5,100,00:00,23:59,2023-06-22T21:00:56.859Z,2023-07-08T11:10:48.717Z,2024-02-15T09:21:41.171Z,11,4,"11.811475037634553,100.06139231476061",Bangkok,Thailand
114,Machine 114,inactive,5,100,04:00,18:59,2023-09-16T17:51:26.302Z,2023-11-02T01:11:47.712Z,2024-02-22T08:03:12.999Z,6,5,"11.012698948011746,88.69432462495104",Bangkok,Thailand
115,Machine 115,active,5,100,04:00,20:59,2023-07-29T05:30:40.798Z,2023-12-02T17:39:42.880Z,2024-02-15T06:13:48.797Z,6,1,"17.42647537570028,103.36376277201316",Bangkok,Thailand
116,Machine 116,active,5,100,01:00,22:59,2023-08-13T01:16:22.832Z,2023-12-12T16:58:23.398Z,2024-03-01T19:25:12.631Z,2,2,"2.158128460822901,97.69690960413982",Bangkok,Thailand
117,Machine 117,inactive,5,100,03:00,23:59,2023-10-20T15:00:31.366Z,2024-01-23T22:10:54.491Z,2024-02-15T19:43:11.500Z,18,4,"13.461471874154748,89.55425923309849",Bangkok,Thailand
118,Machine 118,active,5,100,04:00,18:59,2023-10-04T10:07:32.416Z,2023-10-30T13:56:40.578Z,2024-02-24T19:15:02.307Z,6,0,"10.124774022963368,97.2058770171775",Bangkok,Thailand
119,Machine 119,active,5,100,00:00,22:59,2023-06-22T16:48:05.737Z,2023-07-24T00:32:10.603Z,2024-02-15T08:44:01.465Z,0,0,"12.70862944143279,106.14145175878161",Bangkok,Thailand
120,Machine 120,inactive,5,100,01:00,23:59,2024-01-16T17:42:30.183Z,2024-01-24T23:38:53.692Z,2024-02-15T08:31:24.727Z,9,4,"11.532835401674422,101.89428365891376",Bangkok,Thailand
121,Machine 121,active,5,100,06:00,19:59,2023-11-02T22:50:04.939Z,2023-11-13T08:06:30.999Z,2024-02-21T13:32:24.382Z,9,1,"15.826789384954068,89.10247222694977",Bangkok,Thailand
122,Machine 122,active,5,100,04:00,21:59,2023-09-15T18:45:02.525Z,2023-11-01T07:29:32.337Z,2024-02-22T16:28:49.762Z,13,5,"10.808473431134693,100.1984091438253",Bangkok,Thailand
123,Machine 123,active,5,100,01:00,19:59,2023-08-13T04:22:35.920Z,2023-12-23T10:37:16.764Z,2024-03-03T22:07:42.240Z,9,0,"12.4462040381475,97.53083809615373",Bangkok,Thailand
124,Machine 124,active,5,100,03:00,18:59,2023-06-04T05:12:02.586Z,2023-07-11T10:32:28.138Z,2024-02-22T08:36:19.870Z,9,0,"22.71830161812604,97.67718429233025",Bangkok,Thailand
125,Machine 125,active,5,100,03:00,22:59,2023-06-02T13:38:50.471Z,2023-08-07T16:37:24.171Z,2024-03-01T06:40:37.576Z,6,3,"14.960675855424109,98.1569437246626",Bangkok,Thailand
126,Machine 126,inactive,5,100,00:00,22:59,2023-11-26T17:24:19.635Z,2024-01-19T16:14:56.866Z,2024-02-13T20:26:27.630Z,12,3,"16.73808405006058,97.97875889600152",Bangkok,Thailand
127,Machine 127,inactive,5,100,04:00,20:59,2024-01-18T01:48:25.296Z,2024-01-25T03:56:17.498Z,2024-03-02T23:11:18.652Z,18,3,"7.668995595119215,99.1433998720155",Bangkok,Thailand
128,Machine 128,inactive,5,100,03:00,18:59,2023-09-22T10:16:04.832Z,2023-11-23T02:05:38.344Z,2024-02-20T11:30:21.117Z,0,0,"4.9426498176453535,109.9865789657656",Bangkok,Thailand
129,Machine 129,inactive,5,100,06:00,19:59,2023-11-01T19:28:36.736Z,2023-12-08T21:59:14.600Z,2024-03-01T02:13:00.887Z,17,2,"15.445206703674227,111.51586166878053",Bangkok,Thailand
130,Machine 130,inactive,5,100,04:00,18:59,2023-10-24T09:49:56.744Z,2024-01-22T12:28:43.048Z,2024-02-27T22:01:19.078Z,13,3,"22.716745806587376,100.33598079295018",Bangkok,Thailand
